Numéro;genus;sp;LIB_PAYS;N_ESSEM;N_CTFT;ORIGINE;CRS;DURETE;D12;NE_D12;CV_D12;HYGRO;SATUR;RB;Champ1;RV;RT;RR;FEND;TRACTION;CIS;C12;NE_C12;CV_C12;C_T_HUMID;C_REPERE;F12;NE_F12;CV_F12;E;W
3398;Abarema;jupunba;Bresil Amazonie;2654C;26929;C;R;3.3;0.71;2;;0.0029;24;12.2;;0.51;7.8;3.7;13.2;3.4;5,9;61.6;2;;50;;78.1;2;;11085;9
1884;Abarema;jupunba;Guyane Francaise;1203G;;G;S;;0.66;9;;0.0031;30;13.7;;0.46;;;;;;;;;;;;;;;
2736;Abies;alba;France;2007;19021;;S;1.7;0.43;9;3;0.002;27;12.7;;0.47;9.3;3.8;7.4;1.6;4,5;39.8;9;5;77;*;80.5;9;6;10693;12
2676;Abies;alba;France;1950;19011;;C;2.6;0.48;10;8;0.0026;27;11.2;;0.41;4.8;2.4;6.7;1.3;3,7;44.1;10;9;77;*;82.8;9;7;9810;17
1470;Abies;alba;France;0801;09333;;C;2.1;0.5;11;5;0.0029;37;12.6;;0.34;10.2;4.8;15.7;2;8,0;36.1;11;12;71;*;86;11;7;9908;19
2474;Abies;alba;France;1760;16668;;C;3.4;0.54;10;7;0.0021;25;13;;0.52;10.6;5.1;10.4;1.6;6,7;42.6;10;15;100;*;105.7;7;12;15696;21
3754;Acacia;elata;Burundi;3008P;29404;P;S;2.1;0.6;9;11;0.003;31;13.2;;0.43;9.9;3.6;16.3;2.9;4,2;55.5;8;13;27;;110.2;8;11;10889;31
3751;Acacia;elata;Burundi;3005P;29405;P;S;2.3;0.61;7;9;0.0027;33;15.5;;0.47;10.8;4.5;17;3.1;7,9;56.5;7;4;32;;110.6;7;9;12164;39
3767;Acacia;elata;Burundi;3021P;29403;P;S;3.2;0.64;8;4;0.0029;30;13.7;;0.46;10.3;4.3;17.7;2.8;4,5;57.4;8;7;35;;118;8;7;11772;52
1021;Acacia;heterophylla;Reunion;0403;04933;;C;2.3;0.6;18;5;0.0032;28;11.7;;0.42;;;25.6;3;;49.3;17;9;56;*;109.2;8;;;18
3918;Acacia;mangium;Sabah;3172P;31168;P;S;3.1;0.65;10;9;0.0038;25;9.3;;0.37;7;3.1;21.9;3.3;;57.2;9;8;35;;129.9;10;13;12459;43
3937;Acacia;shirleyi;Australie;3183A;31551;A;S;14.6;1.14;5;3;0.005;;7.1;;;7.4;6.6;;;;98.2;4;7;;;181.8;5;13;16677;
3936;Acacia;shirleyi;Australie;3183;31551;;S;15.1;1.21;5;3;0.005;;7.1;;;6.1;3.6;;;;96.7;5;6;;;177.5;5;7;17854;
1644;Afzelia;africana;Centre Afrique;0974;10295;;C;8.3;0.85;10;4;0.0046;20;8.3;;0.42;5.1;3.8;13.2;2.5;8,5;83.7;10;8;36;*;161.3;10;12;13538;34
1579;Afzelia;africana;Cote d'Ivoire;0906;10208;;C;5.7;0.74;10;5;0.0042;19;7.6;;0.4;4.9;3.2;23.5;2.8;9,6;66.8;10;13;55;*;139.1;8;8;12066;27
1760;Afzelia;africana;Cote d'Ivoire;1090;13963;;C;6.6;0.78;8;6;0.006;28;6.5;;0.23;3.5;3.2;16.8;2.4;5,3;75.9;10;9;61;*;160.7;10;16;13440;29
1883;Afzelia;africana;Cote d'Ivoire;1203;15325;;C;8.2;0.79;10;5;0.0044;19;7.5;;0.39;3.6;2.5;25.1;3.3;9,8;73.4;10;10;46;*;147.2;8;6;12851;31
1625;Afzelia;africana;Cote d'Ivoire;0955;10669;;C;6.1;0.79;10;4;0.005;20;6.8;;0.34;3.7;2.4;18.2;;7,7;63.7;10;10;40;*;90.8;10;17;9123;17
7;Afzelia;africana;Guinee;0003;01094;;S;7.3;0.8;9;3;0.0044;20;8.5;;0.43;;;16.4;2.3;;68;16;8;40;*;122;6;;;17
1604;Afzelia;bella;Cote d'Ivoire;0934;10244;;C;4.3;0.7;10;3;0.0043;18;6.5;;0.36;5.2;3;17.1;2.1;6,4;55.8;10;9;46;*;100.6;6;18;9908;11
469;Afzelia;bipindensis;Cameroun;0159;01100;;C;6;0.73;10;4;0.0045;17;6.3;;0.37;;;15.5;1.8;;71;20;14;20;*;118.3;10;;12655;24
1031;Afzelia;bipindensis;Cameroun;0413;05254;;C;5.5;0.79;18;3;0.0046;17;6.5;;0.38;;;13.3;2.7;;58.3;16;;;;127.1;18;;;22
