Taxon;Genus;Hybrid.marker;Species;Abbrev;Infraspecific.rank;Infraspecific;Authority;ID;Plant.Name.Index;TPL.version;Taxonomic.status;Family;New.Genus;New.Hybrid.marker;New.Species;New.Infraspecific.rank;New.Infraspecific;New.Authority;New.ID;New.Taxonomic.status;Typo;WFormat;Higher.level;Date
Abarema jupunba;Abarema;;jupunba;NA;NA;;;ild-17547;TRUE;1.1;Accepted;Leguminosae;Abarema;;jupunba;;;(Willd.) Britton & Killip;ild-17547;Accepted;FALSE;FALSE;FALSE;09/12/2021
Ampelocera edentula;Ampelocera;;edentula;NA;NA;;;kew-2634287;TRUE;1.1;Accepted;Ulmaceae;Ampelocera;;edentula;;;Kuhlm.;kew-2634287;Accepted;FALSE;FALSE;FALSE;09/12/2021
Andira coriacea;Andira;;coriacea;NA;NA;;;ild-15869;TRUE;1.1;Accepted;Leguminosae;Andira;;coriacea;;;Pulle;ild-15869;Accepted;FALSE;FALSE;FALSE;09/12/2021
Andira sp;Andira;;sp;NA;NA;;;;FALSE;1.1;;;Andira;;sp;NA;;;;;FALSE;FALSE;FALSE;09/12/2021
Aniba melinonii;Aniba;;melinonii;NA;NA;;;kew-2639718;TRUE;1.1;Unresolved;Lauraceae;Aniba;;melinonii;;;Lemée;kew-2639718;Unresolved;FALSE;FALSE;FALSE;09/12/2021
Aniba parviflora;Aniba;;parviflora;NA;NA;;;kew-2639727;TRUE;1.1;Accepted;Lauraceae;Aniba;;parviflora;;;(Meisn.) Mez;kew-2639727;Accepted;FALSE;FALSE;FALSE;09/12/2021
Antonia ovata;Antonia;;ovata;NA;NA;;;kew-2643055;TRUE;1.1;Accepted;Loganiaceae;Antonia;;ovata;;;Pohl;kew-2643055;Accepted;FALSE;FALSE;FALSE;09/12/2021
Apeiba membranacea;Apeiba;;membranacea;NA;NA;;;kew-2643251;TRUE;1.1;Accepted;Malvaceae;Apeiba;;membranacea;;;Spruce ex Benth.;kew-2643251;Accepted;FALSE;FALSE;FALSE;09/12/2021
Aspidosperma album;Aspidosperma;;album;NA;NA;;;kew-17226;TRUE;1.1;Accepted;Apocynaceae;Aspidosperma;;album;;;(Vahl) Benoist ex Pichon;kew-17226;Accepted;FALSE;FALSE;FALSE;09/12/2021
Aspidosperma sandwithianum;Aspidosperma;;sandwithianum;NA;NA;;;kew-17362;TRUE;1.1;Accepted;Apocynaceae;Aspidosperma;;sandwithianum;;;Markgr.;kew-17362;Accepted;FALSE;FALSE;FALSE;09/12/2021
Avicennia germinans;Avicennia;;germinans;NA;NA;;;kew-18443;TRUE;1.1;Accepted;Acanthaceae;Avicennia;;germinans;;;(L.) L.;kew-18443;Accepted;FALSE;FALSE;FALSE;09/12/2021
Bagassa guianensis;Bagassa;;guianensis;NA;NA;;;kew-2667845;TRUE;1.1;Accepted;Moraceae;Bagassa;;guianensis;;;Aubl.;kew-2667845;Accepted;FALSE;FALSE;FALSE;09/12/2021
Balizia pedicellaris;Balizia;;pedicellaris;NA;NA;;;ild-39699;TRUE;1.1;Synonym;Leguminosae;Albizia;;pedicellaris;;;(Dc.) L.Rico;ild-56574;Accepted;FALSE;FALSE;FALSE;09/12/2021
Bocoa prouacensis;Bocoa;;prouacensis;NA;NA;;;ild-10925;TRUE;1.1;Accepted;Leguminosae;Bocoa;;prouacensis;;;Aubl.;ild-10925;Accepted;FALSE;FALSE;FALSE;09/12/2021
Bombacopsis nervosa;Bombacopsis;;nervosa;NA;NA;;;kew-2679027;TRUE;1.1;Synonym;Malvaceae;Pachira;;nervosa;;;(Uittien) Fern.Alonso;kew-2412799;Accepted;FALSE;FALSE;FALSE;09/12/2021
Brosimum rubescens;Brosimum;;rubescens;NA;NA;;;kew-2683638;TRUE;1.1;Accepted;Moraceae;Brosimum;;rubescens;;;Taub.;kew-2683638;Accepted;FALSE;FALSE;FALSE;09/12/2021
Brosimum utile;Brosimum;;utile;NA;NA;;;kew-2683645;TRUE;1.1;Accepted;Moraceae;Brosimum;;utile;;;(Kunth) Oken;kew-2683645;Accepted;FALSE;FALSE;FALSE;09/12/2021
Caraipa densifolia;Caraipa;;densifolia;NA;NA;;;kew-2698918;TRUE;1.1;Accepted;Calophyllaceae;Caraipa;;densifolia;;;Mart.;kew-2698918;Accepted;FALSE;FALSE;FALSE;09/12/2021
Carapa guianensis;Carapa;;guianensis;NA;NA;;;kew-2699327;TRUE;1.1;Accepted;Meliaceae;Carapa;;guianensis;;;Aubl.;kew-2699327;Accepted;FALSE;FALSE;FALSE;09/12/2021
Carapa procera;Carapa;;procera;NA;NA;;;tro-20400504;TRUE;1.1;Accepted;Meliaceae;Carapa;;procera;;;DC.;tro-20400504;Accepted;FALSE;FALSE;FALSE;09/12/2021
Carapa sp;Carapa;;sp;NA;NA;;;;FALSE;1.1;;;Carapa;;sp;NA;;;;;FALSE;FALSE;FALSE;09/12/2021
Caryocar glabrum;Caryocar;;glabrum;NA;NA;;;kew-34638;TRUE;1.1;Accepted;Caryocaraceae;Caryocar;;glabrum;;;(Aubl.) Pers.;kew-34638;Accepted;FALSE;FALSE;FALSE;09/12/2021
Caryocar microcarpum;Caryocar;;microcarpum;NA;NA;;;kew-34648;TRUE;1.1;Accepted;Caryocaraceae;Caryocar;;microcarpum;;;Ducke;kew-34648;Accepted;FALSE;FALSE;FALSE;09/12/2021
Casuarina equisetifolia;Casuarina;;equisetifolia;NA;NA;;;kew-2705446;TRUE;1.1;Accepted;Casuarinaceae;Casuarina;;equisetifolia;;;L.;kew-2705446;Accepted;FALSE;FALSE;FALSE;09/12/2021
Catostemma fragrans;Catostemma;;fragrans;NA;NA;;;kew-2705832;TRUE;1.1;Accepted;Malvaceae;Catostemma;;fragrans;;;Benth.;kew-2705832;Accepted;FALSE;FALSE;FALSE;09/12/2021
Cecropia sciadophylla;Cecropia;;sciadophylla;NA;NA;;;kew-2707133;TRUE;1.1;Accepted;Urticaceae;Cecropia;;sciadophylla;;;Mart.;kew-2707133;Accepted;FALSE;FALSE;FALSE;09/12/2021
Cedrela odorata;Cedrela;;odorata;NA;NA;;;kew-2707234;TRUE;1.1;Accepted;Meliaceae;Cedrela;;odorata;;;L.;kew-2707234;Accepted;FALSE;FALSE;FALSE;09/12/2021
Cedrelinga catenaeformis;Cedrelinga;;catenaeformis;NA;NA;;;ild-11970;TRUE;1.1;Synonym;Leguminosae;Cedrelinga;;cateniformis;;;(Ducke) Ducke;ild-33028;Accepted;FALSE;FALSE;FALSE;09/12/2021
Chaetocarpus schomburgkianus;Chaetocarpus;;schomburgkianus;NA;NA;;;kew-37365;TRUE;1.1;Accepted;Peraceae;Chaetocarpus;;schomburgkianus;;;(Kuntze) Pax & K.Hoffm.;kew-37365;Accepted;FALSE;FALSE;FALSE;09/12/2021
Chrysophyllum pomiferum;Chrysophyllum;;pomiferum;NA;NA;;;kew-40250;TRUE;1.1;Accepted;Sapotaceae;Chrysophyllum;;pomiferum;;;(Eyma) T.D.Penn.;kew-40250;Accepted;FALSE;FALSE;FALSE;09/12/2021
Chrysophyllum prieurii;Chrysophyllum;;prieurii;NA;NA;;;kew-40252;TRUE;1.1;Accepted;Sapotaceae;Chrysophyllum;;prieurii;;;A.DC.;kew-40252;Accepted;FALSE;FALSE;FALSE;09/12/2021
Chrysophyllum sanguinolentum;Chrysophyllum;;sanguinolentum;NA;NA;;;kew-40277;TRUE;1.1;Accepted;Sapotaceae;Chrysophyllum;;sanguinolentum;;;(Pierre) Baehni;kew-40277;Accepted;FALSE;FALSE;FALSE;09/12/2021
Cocos nucifera;Cocos;;nucifera;NA;NA;;;kew-44645;TRUE;1.1;Accepted;Arecaceae;Cocos;;nucifera;;;L.;kew-44645;Accepted;FALSE;FALSE;FALSE;09/12/2021
Copaifera guianensis;Copaifera;;guianensis;NA;NA;;;ild-12068;TRUE;1.1;Accepted;Leguminosae;Copaifera;;guyanensis;;;Desf.;ild-12068;Accepted;TRUE;FALSE;FALSE;09/12/2021
Couepia guianensis;Couepia;;guianensis;NA;NA;;;kew-367952;TRUE;1.1;Accepted;Chrysobalanaceae;Couepia;;guianensis;;;Aubl.;kew-367952;Accepted;FALSE;FALSE;FALSE;09/12/2021
